{'epoch': 1539264584687, 'value': {x : 0.624, y : -0.316, z : -0.985}}
{'epoch': 1539264584690, 'value': {x : 0.615, y : -0.111, z : -0.954}}
{'epoch': 1539264584691, 'value': {x : 0.590, y : -0.014, z : -0.845}}
{'epoch': 1539264584694, 'value': {x : 0.616, y : -0.303, z : -0.932}}
{'epoch': 1539264584697, 'value': {x : 0.576, y : -0.051, z : -0.946}}
{'epoch': 1539264584699, 'value': {x : 0.549, y : 0.007, z : -0.864}}
{'epoch': 1539264584702, 'value': {x : 0.601, y : -0.278, z : -0.980}}
{'epoch': 1539264584705, 'value': {x : 0.540, y : -0.046, z : -0.983}}
{'epoch': 1539264584706, 'value': {x : 0.531, y : -0.004, z : -0.891}}
{'epoch': 1539264584709, 'value': {x : 0.557, y : -0.289, z : -0.968}}
{'epoch': 1539264584712, 'value': {x : 0.474, y : -0.021, z : -0.902}}
{'epoch': 1539264584713, 'value': {x : 0.556, y : -0.262, z : -0.868}}
{'epoch': 1539264584716, 'value': {x : 0.535, y : -0.190, z : -0.875}}
{'epoch': 1539264584719, 'value': {x : 0.506, y : 0.037, z : -0.783}}
{'epoch': 1539264584721, 'value': {x : 0.598, y : -0.252, z : -0.866}}
{'epoch': 1539264584724, 'value': {x : 0.609, y : -0.257, z : -0.873}}
{'epoch': 1539264584727, 'value': {x : 0.604, y : -0.086, z : -0.720}}
{'epoch': 1539264584728, 'value': {x : 0.569, y : 0.043, z : -0.726}}
{'epoch': 1539264584731, 'value': {x : 0.544, y : -0.014, z : -0.857}}
{'epoch': 1539264584734, 'value': {x : 0.666, y : -0.503, z : -0.885}}
{'epoch': 1539264584735, 'value': {x : 0.580, y : -0.216, z : -0.655}}
{'epoch': 1539264584738, 'value': {x : 0.584, y : -0.031, z : -0.495}}
{'epoch': 1539264584741, 'value': {x : 0.603, y : 0.025, z : -0.610}}
{'epoch': 1539264584743, 'value': {x : 0.542, y : 0.083, z : -0.829}}
{'epoch': 1539264584746, 'value': {x : 0.624, y : -0.305, z : -0.976}}
{'epoch': 1539264584749, 'value': {x : 0.635, y : -0.336, z : -0.803}}
{'epoch': 1539264584750, 'value': {x : 0.561, y : -0.054, z : -0.483}}
{'epoch': 1539264584753, 'value': {x : 0.528, y : 0.132, z : -0.443}}
{'epoch': 1539264584756, 'value': {x : 0.581, y : 0.008, z : -0.756}}
{'epoch': 1539264584757, 'value': {x : 0.637, y : -0.271, z : -1.017}}
{'epoch': 1539264584760, 'value': {x : 0.589, y : -0.177, z : -0.819}}
{'epoch': 1539264584763, 'value': {x : 0.544, y : 0.039, z : -0.562}}
{'epoch': 1539264584766, 'value': {x : 0.584, y : 0.031, z : -0.637}}
{'epoch': 1539264584768, 'value': {x : 0.597, y : -0.069, z : -0.824}}
{'epoch': 1539264584771, 'value': {x : 0.602, y : -0.202, z : -0.815}}
{'epoch': 1539264584773, 'value': {x : 0.556, y : -0.074, z : -0.651}}
{'epoch': 1539264584775, 'value': {x : 0.552, y : -0.000, z : -0.730}}
{'epoch': 1539264584778, 'value': {x : 0.582, y : -0.122, z : -0.861}}
{'epoch': 1539264584781, 'value': {x : 0.526, y : -0.088, z : -0.767}}
{'epoch': 1539264584782, 'value': {x : 0.493, y : 0.077, z : -0.819}}
{'epoch': 1539264584785, 'value': {x : 0.550, y : -0.094, z : -0.964}}
{'epoch': 1539264584788, 'value': {x : 0.484, y : -0.044, z : -0.920}}
{'epoch': 1539264584790, 'value': {x : 0.504, y : -0.016, z : -0.829}}
{'epoch': 1539264584793, 'value': {x : 0.533, y : -0.041, z : -0.821}}
{'epoch': 1539264584795, 'value': {x : 0.540, y : -0.062, z : -0.831}}
{'epoch': 1539264584797, 'value': {x : 0.522, y : -0.037, z : -0.806}}
{'epoch': 1539264584800, 'value': {x : 0.541, y : -0.045, z : -0.807}}
{'epoch': 1539264584803, 'value': {x : 0.539, y : -0.017, z : -0.850}}
{'epoch': 1539264584804, 'value': {x : 0.571, y : -0.053, z : -0.875}}
